Content,Video title,Video publish time,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,592,351,3304,103714,1581.4909,267,633717,6.91
GUKkqPi9mBc,Meet the BAD demoman,"Jun 15, 2018",43,33,810,24497,442.8763,40,214699,9.26
GV1XQrq11R0,Toxicity in TF2,"Jun 27, 2018",32,3,209,5305,285.728,20,44848,8.83
AY_BGcXtBUs,1 life 32 kills - Road to Godlike Episode 3,"Sep 8, 2016",27,0,3,73,1.5601,0,212,16.04
6ztl_liionU,{ TF2 } DKD destroys a trash talker #5,"Jan 28, 2018",19,2,110,4456,125.041,33,46677,7.48
lnJnMjd9pio,Back From the dead,"Jul 2, 2019",16,2,8,164,2.4715,1,1371,8.32
Meo26CLyldU,DKD destroys trash talkers #7,"Jul 23, 2018",10,1,23,496,26.4604,6,3612,7.03
YG-BPviTNQo,How to download Sony Vegas Pro 13 ( Free full version ),"Dec 19, 2015",10,2,16,435,7.3924,3,1706,3.52
pIkRhVgHjRk,{TF2} Tank Exploit,"Jun 11, 2017",10,0,10,645,12.6777,0,1040,6.73
Iu8657AEXDA,THE HUO-LONG STREAKER // Road to Godlike Episode 4,"Sep 25, 2016",9,0,2,38,0.2687,0,240,3.33
FleVFU5miLQ,{ TF2 } I'm a hacker :o,"Jan 8, 2017",8,0,3,177,2.3497,0,303,7.59
nB3lvq1tVvU,{TF2} DKD destroys a trash talker,"Jun 9, 2016",8,0,40,2245,72.4057,9,8649,15.1
16GDCoP5G_w,{TF2} The Soldier Song,"Jun 16, 2017",7,10,124,4593,94.9035,10,36752,7.14
9gjbFW3ncjo,POOTIS POW { YTPMV },"Aug 17, 2016",7,10,20,945,8.4114,1,4392,9.22
HzeenXZLn6w,LET ME HEAR YOU SAY AAAAHHHHHHH!!!!!,"Oct 24, 2015",7,66,110,6645,9.6063,6,57028,6.51
YFqGo2Vo8Wc,{TF2} Yeti Spagetti,"Oct 29, 2017",7,5,7,134,3.0713,0,1076,4.28
asHGAbnIyiw,Just TF2 moments I,"Jun 6, 2017",7,0,11,189,5.4568,1,250,3.6
 -XNENBEYPC4,[TF2] - Playing Pyro Is Hard #shorts,"May 22, 2023",6,1,19,1683,6.5529,3,245,1.22
14UGtTiBD_c,ETF2L Season 27 ( Open Division ) Pain Killers vs Zip n Dip,"Jun 23, 2017",6,0,5,76,1.9151,0,429,4.2
ATJwe49weeE,{ TF2 } DKD destroys a trash talker #3,"Dec 30, 2016",6,0,18,1195,35.7812,9,5662,11.78
Jh-t13ijQ2k,[TF2]  -Rep for being Muslim Egyptian,"Sep 12, 2018",6,0,18,246,4.2883,3,1862,10.31
MTJP3MuRI8I,{TF2} DKD destroys a trash talker #4,"May 25, 2017",6,1,19,735,26.6013,1,3895,9.73
YqElxuFUQBE,{ TF2 } U want SuM PicAxE,"Apr 11, 2017",6,0,5,77,0.4689,0,258,5.43
gWStRBJoYKQ,{ TF2 } DKD destroys a hacker #3,"Sep 15, 2017",6,1,15,331,10.332,1,1323,5.9
u4uNdopB5S0,Team Fortress 2 Gameplay,"Aug 24, 2015",6,1,4,48,0.5739,1,103,9.71
uoweX_lXK4Q,DKD destroys a trash talker #6,"Jun 2, 2018",6,1,7,156,4.4104,1,1069,6.64
4berEii_d-c,{TF2} Camping is fun,"Jul 23, 2017",5,0,5,103,2.086,0,322,1.55
G6BQuwA6Ua4,SKIBIDI BOP MM DADA #shorts,"Dec 20, 2020",5,2,6,177,0.3973,1,2118,4.15
Z_6XZqeP-NA,Shitty youtuber plays shitty games { Episode #1 },"Aug 13, 2017",5,0,4,58,1.0789,0,251,0.8
ak9z5G9OD98,The rise of the Pauls but it's google translated,"Jul 5, 2017",5,0,5,493,7.1959,0,4349,2.99
h3em8JAxDAo,{ TF2 } DKD destroys a hacker #2,"Jul 3, 2017",5,0,6,189,5.8331,0,646,6.66
uvLmZ1ciTTM,*Gamer noises*,"Jul 15, 2020",5,7,15,344,0.6768,0,1312,14.94
0jMyZwJ8R88,DKD Destroys a Hacker - BOT Edition [200 SUB SPECIAL],"Jul 30, 2021",4,3,12,87,2.793,4,1017,4.52
2h_oki1SfiY,Ay b0$$,"Mar 10, 2018",4,6,8,310,1.6905,2,4324,2.34
ACuOJKmLywU,{TF2} DKD destroys a trash talker #2,"Jun 23, 2016",4,0,23,934,34.2002,2,4688,9.73
CHDCLkvd7S8,THIS GAME IS BEYOND CREEPY // NOMED,"Jul 15, 2017",4,0,3,32,1.0365,0,1036,0.58
G99hHk8ljHs,Just TF2 moments V,"Jul 8, 2018",4,0,8,132,4.8289,2,644,4.19
LwwpaOo0xdo,(╭☞❍Ѡ❍)╭☞ Miku-Chan in the thumbnail,"Jul 13, 2017",4,1,5,135,2.8389,0,335,2.69
NZe-fjjhn1A,Just TF2 moments  III,"Jan 15, 2018",4,2,5,81,2.8728,0,957,3.76
Qn9vgF3D_fI,The Malus Soldier awaits........,"Jun 26, 2017",4,0,2,41,0.4546,0,202,0
U1XhVwsloi8,{TF2} Two Ordinary Texans,"Jul 11, 2020",4,10,21,205,5.5552,4,1660,4.94
YeF2jU00_o8,Just Relaxing by DKD,"Jul 8, 2017",4,1,5,75,0.9475,0,201,1
dL68FZXSZsM,The Return of the Malus Soldier {Trailer},"Aug 3, 2017",4,1,7,98,1.3395,0,420,0.71
st0TBRK_EY8,Stop pressing E {TF2 Voice chat},"Aug 17, 2017",4,2,7,394,6.4052,1,2552,7.56
vg3MWf1CzRQ,SeAl DoGgO - EGG ( Official meme video ),"Aug 25, 2017",4,24,36,1254,12.77,3,16248,3.3
weXgUwLkmhk,{ TF2 } DKD and Valdus VS Saxton Hale #2,"Jul 10, 2017",4,0,3,43,1.4263,0,262,0
xY_ZLchILFo,well..........,"Jul 18, 2017",4,0,2,34,0.2682,0,159,1.26
0RjlavjZCys,Battlefield montage  [YazzYoussef],"Sep 1, 2018",3,1,5,36,0.3598,2,565,1.59
1GrxLRDXztU,What happened to 2fort.......,"Jul 14, 2018",3,3,11,236,6.2961,1,773,6.08
5unVg39I55U,I'm back bois,"May 19, 2018",3,0,7,39,0.6827,0,1143,1.22
6NpE9x7KJ6M,#TF2 #Podcast PainKillers Podcast #2,"Jan 8, 2020",3,1,4,43,0.3766,0,886,2.82
A4G2_fE9dBo,Der Sahyoon's Face [A Parody of Der Fuhrer's Face] #freepalestine,"Mar 9, 2024",3,2,0,21,0.3274,0,1138,0.62
BkLF1_xnO-A,[TF2] Heavy with a massive PP,"Dec 29, 2022",3,4,6,142,1.8745,1,5008,2.18
IBg1hamAA2Y,{ TF2 } How to piss someone off,"Mar 16, 2017",3,1,7,207,2.1658,0,1185,4.89
LtL1sVmBSKk,{ TF2 } Another montage but with unfitting music...,"Jan 13, 2017",3,0,6,134,3.1545,1,944,2.86
V3WE2nY4w8I,{TF2} What do you want from me ?!!!!,"Jul 21, 2017",3,1,4,29,0.2906,0,182,1.65
WEJHG7kN1g4,{TF2} Sniper VS Sniper // DKD destroys a hacker,"Aug 26, 2016",3,0,10,245,7.0704,2,776,6.7
WKgi2zNp814,{TF2} DKD and Valdus VS Saxton Hale #3,"Aug 8, 2017",3,0,2,50,0.7928,0,310,1.94
X1XlGxLX2I0,I Didn't Know Heizou Swings That Way | Genshin Impact #shorts #genshinimpact #funny,"Jul 1, 2023",3,8,107,2231,9.7803,3,704,4.69
YPXyztDG4bE,[TF2] Sub-classes are FUN,"Sep 18, 2022",3,2,24,448,15.969,2,11237,2.97
bf74DmJvDXA,Death From Above [A TF2 Frag Movie],"Oct 13, 2020",3,1,9,95,2.3919,0,1401,2.43
cHEKLCM5EVs,#TF2 #Podcast PainKillers Podcast #1,"Sep 26, 2018",3,1,4,70,3.386,1,998,4.11
cxUmJ_l8DcY,"Mentlegen, I have come to say something.....","May 20, 2019",3,0,2,57,0.195,0,866,3.93
ezDtQMGnxIM,Facebook Icon MIDI,"Jul 18, 2017",3,0,2,60,0.2483,0,345,5.22
hVjR8sVMlb4,Quitting Youtube forever,"Apr 1, 2017",3,2,3,53,0.4929,0,142,0.7
j_IghrPMktw,#DumbKingDoughnut 100 subs QnA,"Aug 4, 2019",3,0,7,29,0.4866,0,534,3.75
nJ4mQ7KOIFM,Hiatus,"Dec 20, 2017",3,0,5,45,0.4511,0,347,2.31
ptXFYzP2jko,[TF2] - 1000 IQ Moment #shorts #tf2,"Nov 26, 2023",3,0,30,1777,8.4221,0,160,4.38
qHDBSt8WQSc,NO FEAR !,"Feb 11, 2017",3,0,2,26,0.1346,0,100,1
sEnlCDZyxUU,{TF2} I made this montage while I was drunk,"Jul 14, 2020",3,2,9,99,1.9451,0,1065,5.26
sjeZdUZH9Ig,[TF2] This is how we do it,"Dec 31, 2017",3,0,3,102,1.0214,0,567,3
tBLO1ZDoGg8,Get Panned { TF2 Montage },"Sep 22, 2016",3,1,3,64,2.1772,0,147,4.08
ymkUCIzwPhs,#Announcment #SFM,"Oct 10, 2018",3,0,6,75,0.4304,0,1321,2.8
zqTvp0S45d4,Just TF2 moments II,"Oct 16, 2017",3,1,4,60,1.4424,0,314,0.96
0X6qo0sn6Ww,Look at the video thumbnail,"Oct 23, 2020",2,0,3,44,0.8403,0,1149,1.91
4NC3cOdx97A,THE NEW MINECRAFT // Unturned Part 1,"Apr 13, 2016",2,2,9,57,1.9488,2,104,4.81
5zXllIDUW2U,{TF2} Too good for this server,"Jan 31, 2018",2,0,5,91,2.2065,1,628,7.17
964pzg7rTEU,Why Normies hate Anime (animatic),"Oct 6, 2020",2,2,8,169,1.4011,1,3121,2.21
97m_1rxphdw,Meet the COCK Soldier,"Dec 11, 2015",2,0,7,126,1.2212,1,1067,6.84
BthWI7HxqSU,Short Montage of Trickstabs (w/Spy),"Jan 16, 2016",2,0,5,46,0.614,0,150,2
C81abWscoY8,#DumbKingDoughnut #TF2 DKD destroys hackers #4,"Aug 8, 2019",2,3,12,125,4.8919,2,1393,5.74
Cr_cjFrE4qM,Monotone by DKD,"Jun 21, 2020",2,0,3,21,0.2518,0,633,1.58
DjVZ7GWm0D4,[SFM] He sees you when you're sleeping,"Aug 10, 2019",2,1,8,206,0.6644,2,1734,3.98
HUwGgMlJbcE,{ TF2 } Short soldier montage,"Feb 28, 2018",2,0,6,53,0.5305,0,607,1.48
I78tHjL83iU,Beatin' Spookfest by DKD,"Jul 20, 2017",2,0,2,33,0.3002,0,201,0.5
K-i511Qs9ig,What happens when an idiot plays Fall Guys,"Sep 25, 2020",2,1,10,69,2.4398,3,1035,4.06
KHvMf7xB-ZI,TARM -Episode #2 // The Arrival,"Mar 17, 2018",2,0,5,43,0.5799,0,594,1.35
PWQ5aGrFjeE,How to download photoshop Free Full Version ( NO LONGER WORKS ),"Feb 2, 2016",2,0,7,665,10.9297,0,1037,4.24
SqAc-ASH68o,Funny Montage ( Best moments from 2016 ),"Feb 21, 2017",2,1,3,32,1.2085,0,119,0.84
TnIHpB2e2ng,Abandon Hope,"Jan 18, 2018",2,2,2,36,0.2916,0,530,2.26
TtKFOxdRC5s,WAT.......,"Aug 19, 2017",2,4,8,171,0.8236,0,289,3.11
X0MdUJNL0IU,When I try to get an airshot,"Jul 26, 2017",2,0,5,42,0.2053,0,191,2.09
cdvFrEBTpHk,What if every team 10 memeber had a nickname ( OFFENSIVE ),"Aug 5, 2017",2,1,6,144,1.9936,0,323,2.48
dUqZj1FkQv8,DKD destroys a trash talker #8,"Sep 21, 2019",2,1,4,124,5.9948,2,1646,4.68
efgADNb9o6s,{ TF2 } Market gardening but with a whip ( w/Valdus ),"Jul 17, 2017",2,1,5,54,1.718,0,298,4.36
frayEMkN9Ig,The sky is beautiful today,"Feb 21, 2018",2,0,5,48,0.1592,0,709,3.95
ihyj0EJHKmQ,(Green Screen) The Ghost of a Youtuber,"Feb 3, 2018",2,7,7,316,2.8398,1,18992,0.93
lGeaocriPYQ,[ SFM Short ] Enter the Dark Void,"Nov 1, 2017",2,2,5,171,0.811,0,1029,4.76
p0u5NHXNZAM,[TF2] - When The Pyro Can M2 #shorts #tf2,"Oct 7, 2023",2,0,11,600,2.1035,3,197,1.02
rxa2ug0XpRw,NO MORE!! // Five Nights at Freddy's 4,"May 19, 2016",2,0,5,27,0.6445,0,105,0
t-Z8p6rGH5w,Happy new year,"Jan 1, 2021",2,0,4,50,0.0388,0,686,4.37
uEnbq-AwtLU,Two Idiots Play Minecraft [Part 2],"Sep 7, 2020",2,0,4,46,1.1005,0,722,3.19
xHENGmgljgM,{TF2} The unlucky demoman,"Aug 18, 2016",2,0,1,19,0.0665,0,170,4.12
0JGC7zbcb3s,TF2 MEETS ROBOCRAFT - Gear Up #1 ( w/ ValdusEZ ),"Jun 5, 2016",1,0,4,40,0.5586,0,207,5.31
0oyno0I0ukk,[TF2] - Hard Reads #shorts #tf2,"Aug 24, 2023",1,0,16,855,3.4768,2,449,2
13Y3V7cWWM8,Road to Godlike Episode 2,"Jun 30, 2016",1,0,3,21,0.3145,0,135,1.48
2B0nAEuGuyM,What happens when you mix memes with Jake Paul..,"Jun 29, 2017",1,0,3,103,0.9841,0,269,2.97
2incfTVzCB8,{ TF2 } Airshot clip,"Dec 8, 2016",1,0,1,18,0.0531,0,5,0
5JwQwq0W4lE,Just TF2 moments IV,"Feb 19, 2018",1,0,4,70,1.2909,1,611,2.78
6TO2myZXLPU,[Speed Art] Reviving My First Channel Icon in Aseprite,"Aug 12, 2020",1,3,4,29,0.3458,0,960,1.67
6eu_uTBkIN4,{ TF2 } Lucksman In A Nutshell,"Apr 6, 2017",1,2,3,74,1.242,0,285,3.86
6mkOieLJBUs,The Sumpter Beasts Had Enough | Genshin Impact #shorts #genshinimpact #funny,"Jun 12, 2023",1,1,29,732,1.5078,4,204,2.94
A9aSscUOQB4,Youtube Rewind 2017 but every youtuber i hate is a cnt,"Feb 13, 2018",1,0,2,97,1.063,0,671,2.38
AfHmanpPPzE,#DumbKingDoughnut #NeedforSpeed Just NFS Moments #1,"Sep 6, 2019",1,0,5,39,0.6407,0,1340,1.94
Eevg4KbRzJ0,Meet the Sniper But He's in Genshin Impact #tf2 #genshin #shorts #genshinimpact,"Jan 10, 2024",1,1,8,155,0.564,0,834,3.72
IKcxsy2-WpY,DKD destroys a hacker,,1,0,4,8,0.1143,0,11,0
IzawbaK9YaQ,We are Working On A Game #shorts #gamedev #indiedev #videogames,"Aug 5, 2023",1,0,11,250,1.4043,0,182,2.2
Jbpnuc8r9Xc,for kiwi,,1,0,1,6,0.0672,0,10,0
LfP6627gRMA,Meet shakira,"Aug 24, 2018",1,1,6,50,0.3707,0,1083,2.12
NpWW0oCyvdc,[TF2] - Demo Laughs At Sentry And Dies #shorts,"Jun 17, 2023",1,1,16,472,1.0267,0,3137,3.19
OimG-9YtyVU,DKD and friends play Unturned ( Part 4 ),"Jul 5, 2016",1,2,5,50,3.11,0,221,4.07
OlijaYddoJk,Genshin Impact Geo Hypostasis Speedrun,"May 18, 2023",1,0,3,143,1.5257,0,3658,3.14
Pct06SnPkLI,[TF2] - Never Let Them Know Your Next Move #shorts,"May 26, 2023",1,0,3,136,3.2909,0,109,0
