,Video title,Video publish time,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%),Engagement,year,month,day,dayofweek,subscribers_lag_1,subscribers_lag_2,subscribers_lag_3,subscribers_lag_4,subscribers_lag_5,subscribers_lag_6,subscribers_lag_7,views_lag_1,views_lag_2,views_lag_3,views_lag_4,views_lag_5,views_lag_6,views_lag_7,subscribers_rolling_mean_7,views_rolling_mean_7
1,Meet the BAD demoman,2018-06-15,43,33,810,24497,442.8763,40,214699,9.26,886,2018.0,6.0,15.0,4.0,1.0726495726495726,1.0772532188841202,1.081896551724138,1.0865800865800865,1.0913043478260869,1.0960698689956332,1.0964912280701755,437.4102564102564,439.21888412017165,441.0560344827586,442.75757575757575,444.6347826086957,446.4279475982533,447.67105263157896,0.8172177167810357,329.6793512164692
2,Toxicity in TF2,2018-06-27,32,3,209,5305,285.728,20,44848,8.83,244,2018.0,6.0,27.0,2.0,40.0,1.0772532188841202,1.081896551724138,1.0865800865800865,1.0913043478260869,1.0960698689956332,1.0964912280701755,24497.0,439.21888412017165,441.0560344827586,442.75757575757575,444.6347826086957,446.4279475982533,447.67105263157896,0.8172177167810357,329.6793512164692
3,1 life 32 kills - Road to Godlike Episode 3,2016-09-08,27,0,3,73,1.5601,0,212,16.04,30,2016.0,9.0,8.0,3.0,20.0,40.0,1.081896551724138,1.0865800865800865,1.0913043478260869,1.0960698689956332,1.0964912280701755,5305.0,24497.0,441.0560344827586,442.75757575757575,444.6347826086957,446.4279475982533,447.67105263157896,0.8172177167810357,329.6793512164692
4,{ TF2 } DKD destroys a trash talker #5,2018-01-28,19,2,110,4456,125.041,33,46677,7.48,131,2018.0,1.0,28.0,6.0,0.0,20.0,40.0,1.0865800865800865,1.0913043478260869,1.0960698689956332,1.0964912280701755,73.0,5305.0,24497.0,442.75757575757575,444.6347826086957,446.4279475982533,447.67105263157896,0.8172177167810357,329.6793512164692
5,Back From the dead,2019-07-02,16,2,8,164,2.4715,1,1371,8.32,26,2019.0,7.0,2.0,1.0,33.0,0.0,20.0,40.0,1.0913043478260869,1.0960698689956332,1.0964912280701755,4456.0,73.0,5305.0,24497.0,444.6347826086957,446.4279475982533,447.67105263157896,0.8172177167810357,329.6793512164692
6,DKD destroys trash talkers #7,2018-07-23,10,1,23,496,26.4604,6,3612,7.03,34,2018.0,7.0,23.0,0.0,1.0,33.0,0.0,20.0,40.0,1.0960698689956332,1.0964912280701755,164.0,4456.0,73.0,5305.0,24497.0,446.4279475982533,447.67105263157896,0.8172177167810357,329.6793512164692
7,How to download Sony Vegas Pro 13 ( Free full version ),2015-12-19,10,2,16,435,7.3924,3,1706,3.52,28,2015.0,12.0,19.0,5.0,6.0,1.0,33.0,0.0,20.0,40.0,1.0964912280701755,496.0,164.0,4456.0,73.0,5305.0,24497.0,447.67105263157896,14.714285714285714,5060.857142857143
8,{TF2} Tank Exploit,2017-06-11,10,0,10,645,12.6777,0,1040,6.73,20,2017.0,6.0,11.0,6.0,3.0,6.0,1.0,33.0,0.0,20.0,40.0,435.0,496.0,164.0,4456.0,73.0,5305.0,24497.0,9.0,1653.4285714285713
9,THE HUO-LONG STREAKER // Road to Godlike Episode 4,2016-09-25,9,0,2,38,0.2687,0,240,3.33,11,2016.0,9.0,25.0,6.0,0.0,3.0,6.0,1.0,33.0,0.0,20.0,645.0,435.0,496.0,164.0,4456.0,73.0,5305.0,6.142857142857143,901.0
10,{ TF2 } I'm a hacker :o,2017-01-08,8,0,3,177,2.3497,0,303,7.59,11,2017.0,1.0,8.0,6.0,0.0,0.0,3.0,6.0,1.0,33.0,0.0,38.0,645.0,435.0,496.0,164.0,4456.0,73.0,6.142857142857143,915.8571428571429
